speaker,turn_index,text
B,5,"We'll decide when we get there. John, were they justified? No, obviously not. Of course not. October 7th, I think we can all agree was a crime, a war crime. Right, we can all agree on that. And taking hostages is a war crime and those hostages should be released. But to destroy an entire place, an entire people in response is never justified. Never justified. How are we still. Deb, I don't understand how we're debating this. More than 40,000 deaths later. I don't understand how we're still debating this. Sitting in the comfort of New York, 7,000 miles away from a place that the UN Secretary General has called hell on earth. Justified? Justified? Was Israel justified in carrying out one of the most intense civilian punishment campaigns in history, according to Dr. Robert Pape at the University of Chicago, dropping 500 pound bombs, 1,000 pound bombs, 2,000 pound bombs on schools, hospitals, universities, bookstores, libraries, mosques, churches, refugee camps, apartment buildings, cemeteries, cemeteries. Destroying a higher percentage of buildings in northern Gaza than the Allies destroyed in Dresden during World War II, reducing Gaza to 42 million tons of rubble while they got people out of the way. How is that justified? Dropping a bomb, for example, on a six story apartment building in central Gaza last October, killing more than 100 people inside, including more than 50 children, with no Hamas target in sight, according to Human Rights Watch, with no explanation offered by the Israeli military even till today. Was that justified? Elon, was Israel justified in telling people to go to safe zones and then bombing them and killing them in those safe zones? According to NBC, there were seven deadly airstrikes between January and April in areas that the Israeli military had specifically designated as safe zones, killing Palestinian civilians like Sabrina saqqani, who was 30 weeks pregnant at the time she was killed in a safe zone in April. Her little baby, newborn baby, died less than a week later. Was that justified too? Elon? Was Israel justified in killing a record number of kids in Gaza? 16,000 children, turning Gaza into what the UN has called a graveyard for children, according to Save the Children. Killing more kids in the first three weeks that were killed globally in each of the past four years, killing little kids like six year old Hind Rajab and her 15 year old sister Leon, firing 335 bullets into the car they were in. 335 bullets and then killing the two paramedics who went to try and rescue them. Was that justified too? Elon, was Israel justified in killing a record number of aid workers in Gaza, right? A record number. Targeting, targeting again and again systematically, car by car, according to Chef Jose Andreas, a specifically explicitly marked World Central Kitchen aid convoy, killing seven aid workers in the process. Was that justified? Was Israel justified in starving the people of Gaza, using food and water as a weapon of war, to quote both the EU and Oxfam, Was Israel justified in blocking aid trucks from going into Gaza simply because they carry things like crutches, nail clippers, and even chocolate croissants? According to the Washington Post? Was Israel justified in raping, sodomizing Palestinian detainees who were charged with no crimes whatsoever, putting hot rods up their wrecked. Putting hot rods up their rectums, amputating their limbs, according to CNN and the New York Times? Was that rape and torture justified? Elon. I mean, Israel, According to the ICC chief prosecutor who put out a statement calling for the arrest of Elon's former boss, Benjamin Netanyahu, said that Israel may have military goals, legitimate goals, but the way they're carried out, killing innocent people, starving people, is criminal. He said criminal. Think about that. Elon Levy is a former spokesperson for. For a man who the ICC chief prosecutor wants arrested for war crimes. Elon himself has produced a number of lies. Sorry, John. In service of those war crimes, he has a bunch of tweets still up tonight which say that babies were beheaded on October 7. Babies were baked in ovens, babies were ripped from their mother's wombs. October 7th was bad enough, but Elon had to exaggerate it for atrocity purposes. Those tweets are still up. Why would you trust anything this man says to you tonight? Look, he's here. He's here. He's here to gaslight you to defend the indefensible, to excuse the inexcusable, to justify the unjustifiable. But you don't need to. Tonight, you can choose to be on the side not of cruelty, not of criminality, but on the side of the innocent people of Gaza who are being killed as we speak tonight, as we speak by Elon's former colleagues in the Israeli military on the orders of Elon's former bosses in the Israeli government. So, yes, I choose to oppose this horrific and homicidal motion. Thank."
A,8,"So we're. We're going to just. We're going to have a discussion with a little. That's a little bit looser in format, but the first thing I want to say to each of you is, you know, this mutual urination contest is not. Is not helping us understand the principles involved. All right? You think he tells untruths? You think he tells untruths? You don't need to keep hitting that point. I hope to make your argument. And again, it doesn't. It's not what we're about. Elon, I, I heard you in your, in your opening statement say that the only moral response was for Israel to try to take Hamas down and to get the hostages home. I heard your opponent say that the, the, the, the manner in which it's happening is just enormous overreach with enormous consequences for enormous number of people. People that he would certainly say, and I think a number of others would agree are innocent people. Not all of them, but some of them. And that, that represents an unjustifiable response. What we're talking about, it seems like, is proportionality. And I want you to address the issue of proportionality. This has been calculated in a number of ways. People have said that, as you said, it was the worst terrorist attack since 2000, since September 11, 2001. But others would say that the number of people killed on both sides is wildly out of balance and therefore disproportionate. There's an issue to be discussed here. There's a principle to be discussed here, and that's proportionality. And what, in your view, justifies the proportionality that Israel has stepped up to in its response? And again, because I want things to move back and forth, I'll probably jump in on you after about 90 seconds. Just so you have a sense."
C,4,"Israel's response is proportionate to the threat that we face, which is the threat of annihilation. After perpetrating the Savage Atrocities of October 7, the first thing Hamas did was deny that it did them. The second thing that it did was to threaten to do it again and again until Israel is destroyed. That is what is at stake if this war ends with Hamas free, emboldened, and empowered to perpetrate more October 7th massacres, thinking that the world will keep saving it from the wars that it started. Now, proportionality is a term in international law. It doesn't mean that if they kill a thousand people, you kill a thousand people and call it quits. It means that for each strike, the anticipated collateral damage, the damage to civilians cannot be excessive to the anticipated military goal."
A,9,And your argument is that that has been the principle Israel has observed.
C,5,"Every military expert expert who has observed Israel's military efforts, including just recently in the Times, the deputy supreme commander of NATO has said that Israel is fighting in the most complicated urban battlefield that the world has ever seen. And he's satisfied that its rules of engagement and standard procedures are at least as rigorous as the UK and other Western allies. That's the former deputy supreme commander of NATO, Mari."
B,6,"So I actually, I actually, I actually Want to agree. I want to agree with something. Elon said. Proportionality is a difficult subject and we shouldn't talk about this in abstract. X number here, Y number there. Let's talk specifics. The problem with a lot of spokespersons of Israel, they want to talk in abstract. I want to talk in specifics. So if we talk about proportionality, we talk about discrimination, we talk about war crimes. Last October, shortly after October 7th, Israeli forces struck a three story residential building in Gaza City. They killed 15 members of the Aldos family. Seven children. According to Amnesty International. The survivors say no warnings. Elon told us there were warnings. No warnings were given to evacuate. Amnesty found no evidence of any military targets in the area. And Israel to this day has offered no explanation for that strike. So for the dead Aldos family members, Elon, can you tell us why they were killed?"
C,6,"Mr. Hasan, the IDF does not ou immediate answers. And the fact that Amnesty speaks, the fact that local witnesses intimidated by Hamas does not mean that there was not a military target."
B,7,But was there. But was there. Because Israel has never said it was a military target.
C,7,Hamas booby trapped 40% of Gaza's buildings. It dug tunnels underneath homes and schools.
B,8,We're back to generalities.
C,8,No.
B,9,Why did you kill 15 members of Iran?
A,10,Let him.
C,9,And I do not need to explain. Explain every single strike. No.
A,11,Hold it.
C,10,"Because in this war, Israel is seeking to neutralize the threat of a terrorist army. Has a deliberate strategy. I'm going to have to get the MIC Civilians."
A,12,Thank you. Sorry. Go ahead.
C,11,"Israel. Hamas has a deliberate strategy of sacrificing its innocent civilians. And this is a strategy that you are enabling by always deflecting blame onto Israel instead of considering the real question of why Hamas built its military assets into civilian areas. Under international law, Israel is obligated to give precaution where those feasible precautions are possible."
A,13,Okay.
C,12,And it has done that by.
A,14,"Let many. Come in, please."
B,10,"To be. I need to say two things. To be. To be clear. To be clear. Fifteen people were killed. Seven children. You were spokesperson for the Israeli government at the time. Israel has never given an explanation. When you say I do not need to explain myself. You literally do. You were the spokesperson for the government that committed a war crime and you came to a debate tonight to defend war crimes. So you literally do. Number two. Number two. You'll notice, John, how Elon quickly went to abstract generalities. Let's talk specifics. Let's talk about tunnels. I think it's abhorrent to hide tunnels under civilian targets. I wish they didn't do that. But when Israel shoots children in the head. Three American doctors went to Gaza. Dr. Fayar Sidwa, Dr. Irfan Gallaria and a Jewish American doctor called Dr. Mark Perlmutter. All of them came back at separate times. Said children were brought into hospitals. We were in with gunshot to the head. Sniper shots. Perfect exact targets. There is no tunnel that justifies shooting toddlers in the head. Israeli slices. Or you can tell us why you can defend them."
A,15,"Many, many. Forgive me for, for going abstract but I, I do want to go to some principles here. So you are listing a number of specific. Yes. Incidents that you feel cumulative add up to a very, very much an overreaction."
B,11,"War crimes, John, not an overreaction. War crimes."
A,16,"All right, you call them war crimes in not so much in the abstract but what would have been an appropriate response to what happened that would not cross the line to proportionality?"
B,12,"It's a good question. It's a great question. So I'm not, I'll answer that in two ways. One is I'm not someone who has ever and you can look at my record on this, whether it's the uk, the US Both of my countries. I'm American, British. I've criticized targeted assassinations even by the US and the UK I'm the loser. And people in New York. There's going to be unpopular statement who says that people like Bin Laden should be tried, not assassinated. That's who I'm of a stinking liberal. But, but given we live in a world where America, Britain, Israel, multiple countries, India is now accused of targeting its enemies, killing. You could have tried to take out the leaders of the group without wiping out the entire place. I find it interesting that Israel. Hold on, hold on. I find it interesting that Israel was able to pinpoint kill Ismail Haniyeh in a house in a foreign country. But when it comes to Gaza, when it comes to the Gaza Strip, they had to wipe out the whole place. They had to reduce it to 42 million tons of rubble. And one final point. I just got on factual points, Elon. They're not your neighbors, they're people you occupy. Just to be clear."
A,17,"So I'm, I'm hoping you'll let point number two slide and please take on point number one. But Mehdi's saying that there would have been a self defense response that he feels might have been more appropriate that he also feels would have been within the capability of the Israeli military. What's your response to that?"
C,13,Notice the general pattern of argumentation we're seeing here. Gosh October 7th was terrible. Hamas shouldn't have done that.
A,18,Gosh.
C,14,Hamas built tunnels under score schools and hospitals. It shouldn't have done that. The question is what Israel may legitimately do once.
A,19,"No, no, no, no. That's not the question I asked you."
C,15,"No, but I."
B,13,It's what you did.
A,20,And his response?
B,14,It's what you did.
C,16,"And Mr. Hasan's response is, well, if Israel could take out a terrorist leader thousands of miles away who wasn't expecting that he could be targeted, surely it can reach the terrorists who are hiding inside a bunker under a hospital, probably surrounded by hostages as human shields. Hamas rigged the battlefield. Hamas rigged the battlefield to shield its military assets under civilians, and it left Israel with no option of getting to those leaders."
A,21,"Okay, no option. No other option. No option is what your opponent is saying."
B,15,"First of all, as we've discussed, and I'm here all night, Elon can take his time. They kill 15 members of the DOS family, seven children."
C,17,We can continue this at the reception afterwards if you want.
B,16,"I'll happily and ask you, why did government that you served in kill 15 innocent people in an apartment building?"
A,22,Hold on.
B,17,This is very important. There's no evidence Hamas was there. He's not even tried to make that many.
A,23,Just in the interest of time you've asked it. It's a. It's become a rhetorical.
B,18,Crucial to the argument. He's saying there was no.
A,24,When he says there was a building. When he says there was no other option. What is your response to that?
B,19,"Well, no one in the world agrees with that. That's why Israel's become a pariah in the world. Because even. Even."
C,18,"What was the option, Hassan? Even. What would. Even Joe Biden."
B,20,"Even Joe Biden, the most pro Biden. I already answered that question. Even Joe Biden, the most pro Israel president of my lifetime, who has backed Israel with weapons and arms, has gone on the record saying too much indiscriminate bombing. You've killed too many innocent people. Even the people on your own side say you're killing too many people, Elon."
C,19,"But, Mr. Hasan."
B,21,Accept that.
C,20,"Mr. Hasan, too many people have been killed. The number of people who should have been killed is zero. Too many people were killed when Hamas's psychopath leaders. When Hamas's psychopath leaders who are funded by your paymasters in Qatar, maybe you share a slap."
A,25,"All right, all right. Let's."
B,22,Let's please respond to that. I want to respond to that.
A,26,"No, no, no, no, no. It's another. It's another cheap shot, and I Don't want to entertain cheap shots. I want to go to you, Elon, with this question. When you say that the war is justified, killing and war can only be justified if it serves a greater good, what's the greater good that's being served at this moment?"
C,21,"Mr. Donvan, this war is not justified because Hamas should not have started this war in the first place."
A,27,"Well, the question is whether. The question you are arguing, you are answering the question. Yes, Israel's actions are justified."
C,22,"The response is an attempt to Prevent the next October 7th massacre. On October 7th, Hamas showed us what it was capable of doing, and they immediately went on TV and said, October 7, October 10, October 1,000,000th, everything we do is justified. We are a nation of martyrs. They said, we're proud to sacrifice millions of martyrs if that's what it takes. And we are trying to stop, stop October 7th and to do so in a way that minimizes the cost to their civilians."
B,23,"Let me just deal with the last point and the previous point, which is the idea. Let's just. Let's just be real here. And a lot of military experts say this, but you don't even need military experts. You just need common sense. The idea that you prevent another October 7th or that you destroy Hamas by making tens of thousands of Palestinian children orphans is insane. It doesn't protect Israel. Forget Gaza. It doesn't protect Israel. And let me just deal with this classic. My paymasters in Qatar. Yes, I host a show for Al Jazeera. English. Let's just be very clear. In December, the New York Times published a very, very long piece."
A,28,"Come on, nobody very important here."
B,24,Relevant to the debates. The New York Times.
A,29,"All right, make it relevant. Please make it relevant."
B,25,"New York Times published a very long piece which said a month before October 7, the head of the Mossad, David Barnier, went to Doha, Qatar, and the Qatari said, do you want us to keep sending money to Gaza? And he went back to Netanyahu. He said, what should I say? Netanyahu said, yes, please. And he went back, he said, yes, please, send the money to Gaza. Elon went to work for the government of Benjamin Netanyahu. A month after that words. He's never apologized for that to the Israeli people. Benjamin Netanyahu never apologized to that to the Israeli people. So if anyone should answer questions about Qatari funding of Hamas, allegedly, reportedly, whatever you want to call it, it's the Israeli government that facilitated it for many, many years. Elon was in that government. He's the spokesperson for that answer."
C,23,"It was a terrible Mistake to allow Qatari money into Gaza on the mistaken belief that if we improve civilian life in Gaza, create jobs, create opportunity, Hamas's psychopath leaders won't launch this war. They went straight on TV and said we tricked the Israelis. We made them think that we were concerned about the civilians in Gaza. All the while we were taking that money to build the tunnels and the weapons and the rockets we are firing at Israel. If we had known, Mr. Hassan, what Hamas was going to do on October 7th, perhaps we should have started a preemptive war to eliminate that threat before they could have burned the Simontov children alive on October 7th. But we didn't, okay?"
A,30,"Hamas tricked us, and we won't repeat."
C,24,The same mistake again.
A,31,"Timeout. Going to take a little bit of a 10 second breath and slightly lower the temperature, but only slightly. Elon, you were making the argument that Israel's actions are justified in the pursuit of the destruction of Hamas. We've come to the point, though, where even Israeli military officials are saying it can't be destroyed. Therefore, what happens to that argument? That the justification is the destruction of Hamas? If it's an organization, a movement that can't be destroyed, of course Hamas can."
C,25,"Be removed from power, just like ISIS was removed from power. ISIS is now a terrorist organization that is trying to blow up concerts in Austria. It no longer controls territory the size of Austria. Following this war, we cannot allow the Hamas territory terrorist regime. It's not an organization, it's a terror regime. And a terror army to regroup, restock, rearm and keep shooting rockets at our towns while it is still holding civilians. It is a regime that must be removed from power because we know exactly what it wants to do if given half a chance. And that is to do. October 7th again and again. And Israel's war. Mr. Hassan, I'll yield the stage to you and ask you. Eliminating the Hamas terror regime, removing it from power, a legitimate military objective, yes or no?"
B,26,Of course there's a legitimate military objective for Israel. And that's what I quoted the ICC chief prosecutor saying. But you're doing a very bad job of it.
C,26,"What's interesting, do I understand that after October 7th? Do I understand? No, because I want to clarify and understand. We're on the same."
B,27,You want to clarify the guy who can't answer why you killed 16 civilians.
C,27,We are on the same page. Do you agree?
B,28,I'll answer your question when you answer mine.
C,28,"It was legitimate for Israel to remove the Hamas terror regiment in order to prevent another October 7th. It's a yes. Or no question, Mr. Hassan."
B,29,"No, it's not. It's a loaded question. I'm going to say it was legitimate for Israel to defend its citizens inside of Israel. It's not legitimate to occupy Palestinian territories for decades, decades on end. And let me answer if I can, Rabat. Let me answer John's question."
A,32,"Elon, you've had about two or three minutes in a row. Go on."
B,30,"You asked a very interesting question of Elon. You pointed out that he keeps saying, notice the sleight of hand. You said that. He said, and he said it many times, not just here, Hamas should be destroyed. When you asked him, Israeli military experts and generals say it can't be destroyed. Notice what Elon said. He said, remove from power, quickly, move the goalposts there, because he knows that Hamas can't be destroyed by these means. In fact, the former head of Israel said from the beginning, the former head of Israel's military, who was a member of Netanyahu's war cabinet, he said earlier this year, quote, anyone who says you can destroy Hamas is telling tall tales. So it's not me calling Elon Levy a liar. It's the former head of the Israeli military."
C,29,"Mr. Hassan. From the beginning. From the beginning, Israel has said that its goals are to remove Hamas from power and dismantle its ability to wage war again and to live up its threat of. Repeat, October 7th. And that is why I ask you, after October 7th, was it legitimate for Israel to remove Hamas from power in order to eliminate the threat of repeat, October 7, yes or no?"
B,31,Very simple answer. Israel has the right to defend its citizens in its territory. It doesn't have a right to be an occupier. Doesn't have a right to the point because you think they're your neighbors. The International Court of Justice says Gaza and the west bank are occupied. They've been occupied every day since 1967. You did not withdraw in 2005. You blockaded.
C,30,I'd like to explain. I'd like to explain what the purpose here is.
B,32,"And I've already. Legal fiction, and I've already answered the question. Elon. I've made the point that even if I was an Israeli general trying to destroy Hamas, killing thousands of innocent people only helps Hamas. Every terrorism expert in the world says you're a recruiting sergeant for extremist groups when you go and kill innocent civilians."
C,31,Mr. Hassan.
A,33,"Time out. Time out. Time out. Time out. Time out. Time out. Elon. Elon, time out. I have a question for whoever wants to jump on it. Is Israel's War in Gaza making Israel more secure."
C,32,"When this war began, Hamas had a fearsome missile arsenal that rained thousands of missiles on our cities. I had to keep running into a rocket shelter. Israel has now eliminated. Israel has now eliminated the threat of rocket fire from Gaza. It has cut off its smuggling roots. It has destroyed its missile silos, and it has destroyed Hamas's weapons capabilities. That alone has made us safer and makes it easier to sleep in our beds."
B,33,"A couple of so, three quick things. Number one, the Israelis went to Supreme Court recently, and they were having an argument in Israel's Supreme Court, and they put in the official filing that we do not control Gaza. Even after all this time, Hamas is still in control of lots of parts of Gaza. So they say the honest stuff when. When you're not looking. Number two. Number two, I interviewed Amy Aylon recently, former head of Shin Bet, former Israel. He said very explicitly, israel will not be safe until we give Palestinians freedom. This is his words, not my words. And number three. And number three. Number three, I'm glad you had a bomb shelter to protect you, because the Aldos family in Gaza did not have a bomb shelter to protect them."
A,34,"Okay, Another question. We have not. We have not yet talked about the hostages, and we should. Is Israel's action in Gaza going to. Is it for the benefit of the hostages?"
C,33,"Absolutely. Israel is fighting to bring the hostages home while Hamas is starving and torturing and raping them. We managed in November because Hamas was being clobbered and it wanted a breather. They released nearly half of the hostages. We've sent in special forces to rescue hostages in raids my opponent has condemned. Israel is fighting to put the military pressure on Hamas to release the hostages. But Hamas doesn't want to release the hostages. And the reason it doesn't want to release the hostages is that it knows that the longer this war goes on and the more suffering it generates among its own people in Gaza, the more it advances its own goal of isolating Israel. And Mr. Hassan, it. It pains me that you do not seem to realize the role that you play within Hamas's strategy when you deflect blame onto Israel. Never demand any accountability. Never demand any accountability from the Hamas regime. When you know that Hamas goal is to maximize suffering, you give it a reason to drag on this war. If you wanted to let the hostages."
B,34,"Go, you should tell of all nonsense."
C,34,Hamas to free the hostage.
B,35,"Of all the demonstrably untrue things you've said tonight, this is the big one. So. So apparently, if you want a deal to end the war. You're enabling Hamas's strategy. No, that's what you just said. I'm enabling Hamas strategy, so."
C,35,But you have systematically undermined every leverage Israel has to.
B,36,You know who's undermining.
C,36,Stop pretending. Not the hostages.
B,37,Of the two of us. Hold on. Of the two of us. Of the two of us. Whose strategy has released more hostages? Mine or yours? Because I supported a ceasefire and we got. We got. Hold on.
C,37,Your strategy is to give.
A,35,"Can I let him Finish, please?"
B,38,"Over 100 hostages were released last November in the pause in the ceasefire deal. A lot of Israelis wanted that to continue. Hostages families wanted that to continue. Yes, Netanyahu. Can I finish my answer? Netanyahu said no. In fact, I interviewed Zahir O'Moore, whose uncle, Avraham Munda, was horribly killed in Gaza. Zahir O'Moore, by the way, was arrested today. He's been arrested and attacked by the Israeli government that Elon served in multiple times. He said to me, netanyahu and the government, the government that Elon was part of, always choose the wrong way. Ever since October 8th, everything they do is directed at not getting the hostages back. That is the plain truth. That is the nephew of a hostage. They don't want you to hear about the hostage hostages. Elon. And people like Elon use the hostages as political pawns. The hostages families are standing on the streets of Tel Aviv opposing the Netanyahu government, calling for a ceasefire, calling for a deal. They don't like Elon leaving."
A,36,They don't support Aylo.
C,38,"Mr. Hassan, how many hostages rallies have you spoken at? How many hostages mothers have you embraced and hugged them and told them, I went here for you, whatever you need. I was at Central Park. I was at Central park last Sunday. Had the rally for the hostages. You are not Mr. Has. You really care about the host, their hostage pin. If you want to show them you care, you're welcome to."
B,39,"All right, let's. This is fantastic. Let's go. So put it on."
C,39,Show them you care. Show them you care. I am in daily contact with the family. I tell them I will do. Do whatever it takes to help you get your kids home. Show them you care. And stop trying to exploit these.
A,37,"Okay, okay. Elan, allow him to respond. You've got your bit of stagecraft. Please take it."
B,40,"Let's be clear. Let's be clear. Let's be clear. You saw the very, very performative outrage there from Elon. There to be clear. Don't you lecture me about hostages when your government has killed more hostages than it is rescued. That's on you. That's on you."
C,40,That is on. That is on.
B,41,This.
A,38,"All right, all right, all right."
B,42,I need to finish this.
A,39,I'm going to let you finish this point and then we're moving on.
B,43,"I will happily support this pin because I support the release of all the hostages and. No, no, no, let me finish. Let me finish. And I support. I support the release of thousands of Palestinian detainees being raped and tortured and children. Do you support that? Let's wear it together. Do you support the young? Do you support the release of Palestinians?"
C,41,I do not support.
B,44,Do you support the release of terrorists? Of Palestinian children? Do you support the release of Palestinian children?
C,42,"Mr. Hassan, anyone who is here, let's."
A,40,Get some space here.
B,45,You can't answer the question.
C,43,"Mr. Hassan, he won't put on the hostage."
B,46,I support the release of all innocent people. That's all you've got gimmicks.
C,44,Once again.
A,41,"All right, all right, all right, all right. I have one more question before we pivot to some questions from some journalists who are joining us. And I want to talk about America's involvement in the situation. The US has been largely supporting Israel. If the war in Israel is unjustified, that implicates the US in an unjust war. If the war is justified, then we have an ally that requires our help. Which is it?"
C,45,"I'm sorry, I didn't hear the question."
A,42,"We have. It's about US Involvement in the war. If the war is unjustified, that implicates the US in an unjust war. If it's justified, we have an ally that requires our help."
C,46,"When this war began, President Biden said that Israel is facing sheer, pure, unadulterated evil. It was so obvious in the moment of shock after a October 7th that for Israel to defend itself, it has to dismantle the Hamas terror regime. That President Barack Obama said we must stand by our ally Israel, as it dismantles Hamas. The United States has made valuable support to Israel in its goal of bringing down the Hamas regime. What we need is pressure on Hamas and its patrons, Qatar, Turkey and Iran to let the hostages go. That pressure has not been forthcoming."
B,47,"Before I came on stage, Gershon Baskin, who is Israel's most famous hostage negotiator, he whatsapped me and said he's got a deal, three week deal on the table with Hamas that Hamas has agreed to to release all the hostages and end the war. He says it's with Netanyahu. The bulls in Netanyahu's court so when he keeps going about hostages, tell him to speak to his former boss to agree to a hostage."
C,47,Gershon Baskin is the negotiator in whose deal to free Gila Sinwa.
B,48,"As for the United States, it is tragic to me as a citizen of the United Kingdom and the United States, that my two countries have armed Israel as it carries out what the ICJ has called a plausible genocide as it arms a prime minister who is wanting for war crime. The ICC chief prosecutor has called for the arrest of Yoav Gallant and Benjamin Netanyahu. The American government should not be arming a man wanted for war crimes. And Elon Levy should have began his speech tonight apologizing for working for a man who is wanted for war crimes by the ICC chief prosecutors."
C,48,"Mr. Donmer, you called me to account at the beginning of the debate and said I should not have called my opponent a liar. The former president, president of the icj, Joan Donahue, had to go."
B,49,"Many other judges disagreed with, to go on tv. The American judge who let him speak."
C,49,Did not define there was a plausible genocide. He had to go on TV to refute the lie. The only reason for you to make.
B,50,That the ICC chief prosecutor whose arrest.
C,50,Warrant claims were based on lies.
A,43,"All right, this is not helping. We are. We are not able to hear what anybody is saying. We're not able to hear what anybody's saying. You're both talking at the same time, and I'm talking at the third time, so let's stop this. I have a question for each of you before we pivot, which I would. I would. I want to ask you if you can answer without. Without attacking one another. And I'm also curious to see if you can do it in under 20 seconds, because we're just curious. Each of you came to this debate and by your decision to participate. We know, we saw on social media that both of you were attacked by. By members of your own camp for being even on the stage with somebody who's holding the opposing view. But you showed up anyway. Elon, why did you show up? 15 seconds."
